Clause,PreprocessedText
" No Conflict; No Security: Neither the execution and delivery of the Agreement, nor compliance by the Borrower with any of the provisions of the Agreement shall (i) violate or conflict with any provision of its constitutional documents, any law, judgment, order, writ, decree or injunction applicable to it; (ii) adversely affect the title or interest of Borrower in any of its assets; or (iii) violate, or conflict with, or result in a breach of any provision of, or constitute a default, or, result in the creation of any Encumbrance upon its assets, under any contract, mortgage or other instrument or obligation to which it is a party or by which it or any of its assets are bound, in favour of a third party.",conflict security neither execution delivery agreement compliance borrower provision agreement shall violate conflict provision constitutional document law judgment order writ decree injunction applicable ii adversely affect title interest borrower asset iii violate conflict result breach provision constitute default result creation encumbrance upon asset contract mortgage instrument obligation party asset bound favour third party
"  Consents: All requisite permits, applications, notices, approvals, qualifications, waivers from or authorizations of, or registrations with, any Governmental Authority or any third party have been made or obtained by the Borrower.",consent requisite permit application notice approval qualification waiver authorization registration governmental authority third party made obtained borrower
 Compliance with Applicable Laws: Borrower is in compliance with all Applicable Laws and has not been in material conflict with or in alleged or actual violation or breach or default under any material law applicable to the Borrower.,compliance applicable law borrower compliance applicable law material conflict alleged actual violation breach default material law applicable borrower
" Litigation claims: There are no legal or arbitral proceedings or investigations, or any proceedings by or before any Governmental Authority or any Person, pending or threatened against the Borrower.",litigation claim legal arbitral proceeding investigation proceeding governmental authority person pending threatened borrower
" No distress, execution or other similar order or process has been levied on any of the properties or assets of the Borrower.",distress execution similar order process levied property asset borrower
" Affirmative Covenants The Borrower hereby covenants and agrees that, in the case of the covenants described below, on and after the date hereof, and until the Loan Amount together with interest and all other obligations incurred hereunder are paid in full: Compliance with Applicable Laws: The Borrower shall comply with all Applicable Laws.",affirmative covenant borrower hereby covenant agrees case covenant described date hereof loan amount together interest obligation incurred hereunder paid full compliance applicable law borrower shall comply applicable law
" Information: The Lender or its authorized representatives shall be entitled to receive the following information on request or as otherwise provided herein: (i) quarterly (and year-to-date) financial statements (including an income statement, a statement of cash flow, a balance sheet, a statement of capital expenditures, detailed break-down of working capital, an analysis of receivables and comparisons to budget) within  (thirty) days of the end of the relevant quarter, and annual audited financials within  (ninety) days from the date of the end of the financial year; (ii) board, committee, and shareholder meeting minutes within  (fourteen) days after such event; (iii) any material information relating to the Business of the Company and / or details of significant events impacting the Property; and (iv) any other information as may be reasonably requested by the Lender.",information lender authorized representative shall entitled receive following information request otherwise provided herein quarterly yeartodate financial statement including income statement statement cash flow balance sheet statement capital expenditure detailed breakdown working capital analysis receivables comparison budget within thirty day end relevant quarter annual audited financials within ninety day date end financial year ii board committee shareholder meeting minute within fourteen day event iii material information relating business company detail significant event impacting property iv information may reasonably requested lender
" Events of Default and Remedies Default: The occurrence of any of the following events or circumstances shall constitute a (“Default”) or (“Event of Default”) hereunder: the Borrower makes default in payment of Loan Amount including Interest Amount for a quarter or more and the same is not cured within  (thirty) days from the due date; any representation or warranty of the Borrower proves to have been incorrect in any material respect; the Borrower fails to perform or observe any covenant or agreement, or admits its inability to, or intends not to, perform one or more of its obligations under the Agreement; and the Agreement is declared by a court of competent jurisdiction to be null and void, invalid or unenforceable in any respect, or ceases to give the Lender, rights, powers and privileges purported to be created thereby; or if the rights of the Lender under the Agreement is questioned or contested.",event default remedy default occurrence following event circumstance shall constitute default event default hereunder borrower make default payment loan amount including interest amount quarter cured within thirty day due date representation warranty borrower prof incorrect material respect borrower fails perform observe covenant agreement admits inability intends perform one obligation agreement agreement declared court competent jurisdiction null void invalid unenforceable respect cease give lender right power privilege purported created thereby right lender agreement questioned contested
" Event of Default & Acceleration: Upon occurrence of a Default, the Lender shall have the right to issue a written notice to the Borrower notifying such Default to be an Event of Default, and declare the date of Event of Default to be the Maturity Date.",event default acceleration upon occurrence default lender shall right issue written notice borrower notifying default event default declare date event default maturity date
" Other Remedies: Upon the occurrence and during the continuation of an Event of Default, the Lender may exercise any or all rights and remedies at law or in equity (in any combination or order that the Lender may elect), including without limitation or prejudice to the Lender’s other rights and remedies, any and all rights and remedies available under the Agreement.",remedy upon occurrence continuation event default lender may exercise right remedy law equity combination order lender may elect including without limitation prejudice lender right remedy right remedy available agreement
" Guarantee & indemnity The Borrower irrevocably and unconditionally: guarantees to the Lender punctual performance by the Borrower; and Indemnifies the Lender immediately on demand against any loss or liability suffered by the Lender or its officers, directors, employees, counsel, agents and attorneys-in-fact and affiliates, as the case may be, if any obligation guaranteed by it is or becomes unenforceable, invalid or illegal.",guarantee indemnity borrower irrevocably unconditionally guarantee lender punctual performance borrower indemnifies lender immediately demand loss liability suffered lender officer director employee counsel agent attorneysinfact affiliate case may obligation guaranteed becomes unenforceable invalid illegal
" Continuing Guarantee: Without prejudice to the other provisions of the Agreement, this guarantee is a continuing guarantee and will extend till the discharge of all sums payable by the Borrower under the Agreement, regardless of any intermediate payment.",continuing guarantee without prejudice provision agreement guarantee continuing guarantee extend till discharge sum payable borrower agreement regardless intermediate payment
 Additional security: This guarantee by the Borrower is in addition to and is not in any way prejudiced by any other security now or subsequently held by the Lender.,additional security guarantee borrower addition way prejudiced security subsequently held lender
 Miscellaneous Assignment: The Borrower shall not assign or otherwise transfer any of their rights under this Agreement to any Third Party.,miscellaneous assignment borrower shall assign otherwise transfer right agreement third party
" Notices: Unless otherwise specifically provided herein, all notices, consents, requests, demands and other communications required or permitted hereunder: shall be in writing; shall be sent by registered mail or by email to the appropriate addresses set forth below, or to such other addresses as any Party may inform, in writing, to the other Parties by giving  (five) Business Days’ prior notice.",notice unless otherwise specifically provided herein notice consent request demand communication required permitted hereunder shall writing shall sent registered mail email appropriate address set forth address party may inform writing party giving five business day prior notice
" If to the Lender: Name		: 	 Address	: 	 E-mail		:	  Telephone	:	  If to the Borrower: Name		: 	 Address	:  			 E-mail		:	 Telephone	: 	 No Waiver: No failure or delay on the part of the Lender in exercising any right, power or privilege hereunder and no course of dealing between the Borrower and the Lender shall operate as a waiver thereof.",lender name address email telephone borrower name address email telephone waiver failure delay part lender exercising right power privilege hereunder course dealing borrower lender shall operate waiver thereof
" Reinstatement: In case the any or whole part of repayment on behalf of the Borrower is subsequently invalidated and required to be repaid to the Borrower or to or any other Person under any Applicable Law or otherwise, then the amount so required to be repaid shall be reinstated and included within the obligations of the Borrower as if such payment was never made to the Lender.",reinstatement case whole part repayment behalf borrower subsequently invalidated required repaid borrower person applicable law otherwise amount required repaid shall reinstated included within obligation borrower payment never made lender
" Counterparts: This Agreement may be executed in any number of counterparts and by the different Parties hereto on separate counterparts, each of which when so executed and delivered by facsimile or otherwise shall be original, but all of which shall together constitute one and the same instrument.",counterpart agreement may executed number counterpart different party hereto separate counterpart executed delivered facsimile otherwise shall original shall together constitute one instrument
" Amendment: No provision of this Agreement may be amended, supplemented, modified or waived, except by a written instrument signed by the Lender and the Borrower.",amendment provision agreement may amended supplemented modified waived except written instrument signed lender borrower
" Survival: All indemnities set forth herein, without limitation, shall survive the termination of this Agreement and the making and repayment of the Loan Amount.",survival indemnity set forth herein without limitation shall survive termination agreement making repayment loan amount
" Right of Set-off: The Lender is authorized, without presentment, demand, protest or other notice of any kind to the Borrower or to any other Person, to set off and to appropriate and apply any and all deposits and any other indebtedness at any time owing to the Lender, to or for the credit of the Borrower against and on account of the obligations or liabilities of the Borrower to the Lender under this Agreement.",right setoff lender authorized without presentment demand protest notice kind borrower person set appropriate apply deposit indebtedness time owing lender credit borrower account obligation liability borrower lender agreement
" Severability: Any provision hereof which is prohibited or unenforceable in any jurisdiction shall, as to such jurisdiction, be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof and without affecting the validity or enforceability of any provision in any other jurisdiction.",severability provision hereof prohibited unenforceable jurisdiction shall jurisdiction ineffective extent prohibition unenforceability without invalidating remaining provision hereof without affecting validity enforceability provision jurisdiction
" Complete Agreement: This Agreement represent the final and complete agreement of the Parties hereto and thereto with respect to the Loan Amount, and all prior negotiations, representations, understandings, writings and statements of any nature with respect to the Loan Amount are hereby superseded in their entirety by the terms of this Agreement.",complete agreement agreement represent final complete agreement party hereto thereto respect loan amount prior negotiation representation understanding writing statement nature respect loan amount hereby superseded entirety term agreement
" Governing Law and Jurisdiction: The validity, construction and performance of this Agreement shall be governed by the laws of India, and the courts at Bhopal shall have exclusive jurisdiction.",governing law jurisdiction validity construction performance agreement shall governed law india court bhopal shall exclusive jurisdiction
" Dispute Resolution: All dispute or difference arising between the Lender and the Borrower shall be referred for arbitration to the sole arbitrator nominated by the Lender under the provisions of Arbitration and Conciliation Act, , as amended from time to time.",dispute resolution dispute difference arising lender borrower shall referred arbitration sole arbitrator nominated lender provision arbitration conciliation act amended time time
 The proceedings of arbitration shall be in the English language.,proceeding arbitration shall english language
 The seat and the venue of such arbitration shall be Bhopal and the governing law shall be prevalent laws of India.,seat venue arbitration shall bhopal governing law shall prevalent law india
 The award thereof passed by the arbitrator shall be binding on both the parties and the arbitral tribunal shall also have the right to decide on the costs of arbitration proceedings.,award thereof passed arbitrator shall binding party arbitral tribunal shall also right decide cost arbitration proceeding
" IN WITNESS WHEREOF the Parties has set their respective hands to execute this Loan Agreement on this  day of October, .",witness whereof party set respective hand execute loan agreement day october
"  EMPLOYMENT AGREEMENT  
 INDEX                            
 EMPLOYMENT AGREEMENT This Employment Agreement (this ‘Agreement’) is entered into on this  day of ,  (the ‘Execution Date’), by and between: My T-Tech Solutions Pvt.",employment agreement index employment agreement employment agreement agreement entered day execution date ttech solution pvt
" Ltd, a company incorporated under Companies Act,  bearing CIN UKAPTC and having its registered office at , th cross, st main road Gayathrinagar Bengaluru  (hereinafter referred to as the ‘Company’, which expression shall, unless it be repugnant to the context or meaning thereof, be deemed to mean and include its successors and permitted assigns); AND  , a person resident in  aged about  years holding PAN  and currently residing at  (hereinafter referred to as ‘Employee’, which expression shall, unless it be repugnant to the context or meaning thereof, be deemed to mean and include his heirs, executors, administrators and legal representatives).",ltd company incorporated company act bearing cin ukaptc registered office th cross st main road gayathrinagar bengaluru hereinafter referred company expression shall unless repugnant context meaning thereof deemed mean include successor permitted assigns person resident aged year holding pan currently residing hereinafter referred employee expression shall unless repugnant context meaning thereof deemed mean include heir executor administrator legal representative
" The Company and Employee shall collectively be referred to as, the ‘Parties’ and, individually, as a ‘Party’.",company employee shall collectively referred party individually party
 WHEREAS: The Company is a technology-based company that offers enterprise software solutions in different industries (‘Business’).,whereas company technologybased company offer enterprise software solution different industry business
 The Employee has represented that it has requisite skill set and qualifications to be employed as a  (“Designation”).,employee represented requisite skill set qualification employed designation
" Based on the representations and warranties of the Employee, the Company has decided to employ the Employee and the Employee has agreed to be employed on the Designation.",based representation warranty employee company decided employ employee employee agreed employed designation
"  Accordingly, the Parties intend to record the terms of the engagement of the Company and the Employee under this Agreement.",accordingly party intend record term engagement company employee agreement
" NOW THEREFORE, in consideration of the mutual agreements, covenants, representations, and warranties set forth in this Agreement, and for other good and valuable consideration, the receipt and sufficiency of which is acknowledged by the Parties, the Parties hereby agree as follows: DEFINITIONS AND INTERPRETATION Definitions ‘Agreement’ means this employment agreement and includes any recitals, schedules, annexes, or exhibits that may be annexed to this Agreement and any amendments made to this Agreement by all the Parties in writing.",therefore consideration mutual agreement covenant representation warranty set forth agreement good valuable consideration receipt sufficiency acknowledged party party hereby agree follows definition interpretation definition agreement mean employment agreement includes recital schedule annex exhibit may annexed agreement amendment made agreement party writing
" ‘Applicable Law(s)’ shall mean any law (including common law), statute, code, executive order, injunction, judgment, decree, permit, license, ordinance, rule or regulation, and similar provisions having the force or effect of law in India.",applicable law shall mean law including common law statute code executive order injunction judgment decree permit license ordinance rule regulation similar provision force effect law india
" ‘Affiliate’ shall mean with respect to any Person, any company, corporation, association or other entity, which, directly or indirectly, Controls, is Controlled by or is under common Control with, such Person.",affiliate shall mean respect person company corporation association entity directly indirectly control controlled common control person
" However, an Affiliate shall not include a Competitor.",however affiliate shall include competitor
 ‘Board’ means the board of directors of the Company.,board mean board director company
" ‘Competitor’ shall means any Person who is, directly or indirectly, engaged in any commercial activity which is the same as and/or substantially similar to the Business or which competes with the Business (“Relevant Person”); and/ or any Person in Control of, Controlled by or under common Control with, the Relevant Person.",competitor shall mean person directly indirectly engaged commercial activity andor substantially similar business competes business relevant person person control controlled common control relevant person
" ‘Confidential Information’ shall mean all non-public information that this Agreement or the Company designates and intimates to the Employee hereto as being confidential, or which, under the circumstances of disclosure ought to be treated as confidential and includes without limitation, information relating to the business, financial and accounting books and records, marketing or promotion, business policies or practices, customers, potential customers or suppliers of information, trade secrets, drawings, labels, plates, documentation, technology, in each case of a Party hereto, (whether in electronic, verbal or written form), and all notes, analyses, compilations, studies or other documents prepared which contain reflect such information.",confidential information shall mean nonpublic information agreement company designates intimate employee hereto confidential circumstance disclosure ought treated confidential includes without limitation information relating business financial accounting book record marketing promotion business policy practice customer potential customer supplier information trade secret drawing label plate documentation technology case party hereto whether electronic verbal written form note analysis compilation study document prepared contain reflect information
" ‘Control’ with respect to any Person shall means the direct or indirect beneficial ownership of or the right to vote in respect of, directly or indirectly, more than % of the voting shares or securities of a Person and/or the power to control the majority of the composition of the Board of directors of a Person and/or the power to create or direct the management or policies of a Person by contract or otherwise or any or all of the above.",control respect person shall mean direct indirect beneficial ownership right vote respect directly indirectly voting share security person andor power control majority composition board director person andor power create direct management policy person contract otherwise
" ‘Cause’ shall mean occurrence of any of the following: there has been a gross negligence and wilful misconduct on the part of the Employee in the course of his/her employment with the Company; the Employee has engaged in fraud, embezzlement, theft, commission of a felony, or dishonesty etc.",cause shall mean occurrence following gross negligence wilful misconduct part employee course hisher employment company employee engaged fraud embezzlement theft commission felony dishonesty etc
" in the course of his employment with the Company; the Employee has engaged in such behaviour materially detrimental to the interests of the Company; a material breach by the Employee of any of the terms and conditions of this Agreement; any unauthorised disclosure of Confidential Information by the Employee; the Employee is charged with any felony or crime involving moral turpitude, fraud, or misrepresentation; and  resignation tendered by the Employee during the term of this Agreement.",course employment company employee engaged behaviour materially detrimental interest company material breach employee term condition agreement unauthorised disclosure confidential information employee employee charged felony crime involving moral turpitude fraud misrepresentation resignation tendered employee term agreement
  ‘Effective Date’ means the date of joining of the Employee.,effective date mean date joining employee
" ‘Intellectual Property Rights’ means trademarks, service marks, trade names, business names, logos, get-up, patents, petty patents, utility models, supplementary production certificates, inventions, registered and unregistered design rights, copyrights, semi-conductor topography rights, database rights, domain names and URLs of the Company, rights to sue for passing off and in unfair competition, rights in opposition proceedings and all other similar rights in any part of the world (including in know-how) including, where such rights are obtained or enhanced by registration, any registration of such rights and applications and rights to apply for such registrations; and “Intellectual Property Rights” shall mean any one of them.",intellectual property right mean trademark service mark trade name business name logo getup patent petty patent utility model supplementary production certificate invention registered unregistered design right copyright semiconductor topography right database right domain name url company right sue passing unfair competition right opposition proceeding similar right part world including knowhow including right obtained enhanced registration registration right application right apply registration intellectual property right shall mean one
" ‘Person’ means any natural person, limited or unlimited liability company, corporation, partnership (whether limited or unlimited), proprietorship, waqf, trust, union, association, government or any agency or political subdivision thereof or any other entity that may be treated as a person under Applicable Law; Person also includes a reference to that Person’s legal representatives, assignees, successors or heirs.",person mean natural person limited unlimited liability company corporation partnership whether limited unlimited proprietorship waqf trust union association government agency political subdivision thereof entity may treated person applicable law person also includes reference person legal representative assignee successor heir
" “Related Party” shall have the meaning ascribed to it in the Companies Act, ; ‘Remuneration’ means as defined in Clause .",related party shall meaning ascribed company act remuneration mean defined clause
 of this Agreement.,agreement
 ‘Term’ means as defined in Clause  of this Agreement.,term mean defined clause agreement
" Interpretation In this Agreement, unless the contrary intention appears: the terms referred to in this Agreement shall, unless defined otherwise or inconsistent with the context or meaning thereof, bear the meanings ascribed to them under the relevant statute / legislation; all approvals and/or consents to be granted by the Parties under this Agreement shall be deemed to mean prior approvals and/or consents in writing; no provisions shall be interpreted in favour of, or against, any Party by reason of the extent to which such Party or its counsel participated in the drafting hereof or by reason of the extent to which any such provision is inconsistent with any prior draft hereof; time is of the essence in the performance of each Party’s respective obligations, and if any time period specified in this Agreement is extended, such extended time period shall also be of the essence; and any and all payments made by any Party pursuant to any of the terms of this Agreement shall be in Rupees only.",interpretation agreement unless contrary intention appears term referred agreement shall unless defined otherwise inconsistent context meaning thereof bear meaning ascribed relevant statute legislation approval andor consent granted party agreement shall deemed mean prior approval andor consent writing provision shall interpreted favour party reason extent party counsel participated drafting hereof reason extent provision inconsistent prior draft hereof time essence performance party respective obligation time period specified agreement extended extended time period shall also essence payment made party pursuant term agreement shall rupee
" EMPLOYMENT The Company has employed the Employee to render services as are reasonably expected to be rendered by a person employed at the Designation and Employee accepts the employment on terms and conditions set out under this Agreement read with the policies of the Company, updated from time to time.",employment company employed employee render service reasonably expected rendered person employed designation employee accepts employment term condition set agreement read policy company updated time time
 The Company reserves its rights to change the Designation and job description based on the performance of the Employee and the requirement of the Company.,company reserve right change designation job description based performance employee requirement company
" The Employee represents and warrants to the Company that, as on the Effective Date: (a) he is free to enter into employment with the Company without violation of any third party rights and that the employment with the Company shall not result in a violation of any agreement or restrictive condition that he may have with any third party including former employers; (b) he is not a party to any arrangement or agreement which will compromise his ability to carry out the duties for the Company; (c) all information provided by the Employee in this Agreement is truthful and accurate; and (d) he is competent to enter into this Agreement and capable of performing the obligations hereunder.",employee represents warrant company effective date free enter employment company without violation third party right employment company shall result violation agreement restrictive condition may third party including former employer b party arrangement agreement compromise ability carry duty company c information provided employee agreement truthful accurate competent enter agreement capable performing obligation hereunder
" REMUNERATION AND BENEFIT In consideration of the due and faithful performance, discharge and execution of his duties and responsibilities and on complying with the terms set forth in this Agreement, the Employee shall be entitled to the remuneration, incentives (if applicable) and other employee benefits (“Remuneration”), in accordance with Annexure A.",remuneration benefit consideration due faithful performance discharge execution duty responsibility complying term set forth agreement employee shall entitled remuneration incentive applicable employee benefit remuneration accordance annexure
" The Company shall reimburse all expenses actually and properly incurred by the Employee in the course of Business of the Company during the term of employment of the Employee with the Company and in accordance with the applicable policy (as amended from time to time by the Company in its sole and absolute discretion), upon presentation of appropriate documentation of such expenses at such time and in such form and manner as the Company may prescribe.",company shall reimburse expense actually properly incurred employee course business company term employment employee company accordance applicable policy amended time time company sole absolute discretion upon presentation appropriate documentation expense time form manner company may prescribe
 The reimbursement and travel advance (“Reimbursements”) shall be in accordance with the Reimbursement Policy.,reimbursement travel advance reimbursement shall accordance reimbursement policy
